,Date,RTDemand,DADemand,DALMP,DAEC,DACC,DAMLC,RTLMP,RTEC,RTCC,RTMLC,DryBulb,DewPoint,ZONE
0,2015-01-01 00:00:00,13384.0,12909.0,62.73,62.04,0.0,0.69,91.0,89.93,0.0,1.07,17.0,6.0,1
1,2015-01-01 01:00:00,12809.0,12691.0,55.24,54.65,0.0,0.59,48.05,47.55,0.0,0.5,19.0,6.0,1
2,2015-01-01 02:00:00,12397.0,12452.0,38.83,38.4,0.0,0.43,45.19,44.73,0.0,0.46,20.0,7.0,1
3,2015-01-01 03:00:00,12194.0,12326.0,38.44,38.02,0.0,0.42,55.48,54.96,0.0,0.52,21.0,7.0,1
4,2015-01-01 04:00:00,12224.0,12426.0,37.89,37.48,0.0,0.41,68.74,68.08,0.0,0.66,22.0,6.0,1
5,2015-01-01 05:00:00,12538.0,12638.0,39.61,39.21,0.0,0.4,67.78,67.14,0.0,0.64,21.0,5.0,1
6,2015-01-01 06:00:00,13014.0,13002.0,39.33,38.99,0.0,0.34,35.27,34.95,0.0,0.32,21.0,5.0,1
7,2015-01-01 07:00:00,13295.0,13640.0,40.91,40.52,0.0,0.39,29.83,29.55,0.0,0.28,21.0,5.0,1
8,2015-01-01 08:00:00,13729.0,14416.0,46.3,45.9,0.0,0.4,23.78,23.57,0.0,0.21,21.0,5.0,1
9,2015-01-01 09:00:00,14188.0,14955.0,56.11,55.6,0.0,0.51,35.04,34.75,0.0,0.29,24.0,5.0,1
10,2015-01-01 10:00:00,14534.0,15291.0,56.99,56.39,0.0,0.6,38.21,37.92,0.0,0.29,26.0,5.0,1
11,2015-01-01 11:00:00,14651.0,15244.0,56.89,56.31,0.0,0.58,39.09,38.78,0.0,0.31,28.0,5.0,1
12,2015-01-01 12:00:00,14632.0,15003.0,53.07,52.57,0.0,0.5,38.78,38.47,0.0,0.31,30.0,6.0,1
13,2015-01-01 13:00:00,14555.0,14734.0,45.71,45.29,0.02,0.4,38.68,38.35,0.0,0.33,31.0,6.0,1
14,2015-01-01 14:00:00,14471.0,14573.0,42.96,42.57,0.02,0.37,37.55,37.22,0.0,0.33,32.0,6.0,1
15,2015-01-01 15:00:00,14701.0,14806.0,49.18,48.75,0.0,0.43,38.88,38.53,0.0,0.35,31.0,7.0,1
16,2015-01-01 16:00:00,15891.0,16255.0,61.5,60.81,0.0,0.69,53.82,53.29,0.0,0.53,31.0,7.0,1
17,2015-01-01 17:00:00,17024.0,17453.0,85.02,84.05,0.0,0.97,52.9,52.36,0.0,0.54,30.0,8.0,1
18,2015-01-01 18:00:00,16848.0,17064.0,74.14,73.44,0.0,0.7,50.46,49.94,0.0,0.52,30.0,9.0,1
19,2015-01-01 19:00:00,16391.0,16679.0,62.52,61.86,0.0,0.66,45.35,44.87,0.0,0.48,30.0,9.0,1
20,2015-01-01 20:00:00,15853.0,16103.0,58.16,57.48,0.06,0.62,38.79,38.36,0.0,0.43,30.0,10.0,1
21,2015-01-01 21:00:00,15051.0,15164.0,56.72,56.13,0.0,0.59,36.71,36.31,0.0,0.4,30.0,11.0,1
22,2015-01-01 22:00:00,13943.0,13752.0,44.95,44.55,0.0,0.4,30.53,30.2,0.0,0.33,31.0,12.0,1
23,2015-01-01 23:00:00,12885.0,12604.0,43.82,43.47,0.0,0.35,31.24,30.89,0.0,0.35,32.0,13.0,1
24,2015-01-02 00:00:00,12093.0,12796.0,39.06,38.66,0.0,0.4,4.82,4.78,0.0,0.04,31.0,14.0,1
25,2015-01-02 01:00:00,11588.0,12648.0,35.94,35.57,0.0,0.37,33.48,33.08,0.0,0.4,32.0,14.0,1
26,2015-01-02 02:00:00,11362.0,12702.0,39.25,38.84,0.0,0.41,29.79,29.45,0.0,0.34,31.0,14.0,1
27,2015-01-02 03:00:00,11357.0,12679.0,38.69,38.28,0.0,0.41,28.0,27.67,0.0,0.33,30.0,15.0,1
28,2015-01-02 04:00:00,11618.0,12861.0,42.16,41.71,0.01,0.44,27.6,27.26,0.0,0.34,29.0,15.0,1
29,2015-01-02 05:00:00,12365.0,13051.0,40.06,39.65,0.01,0.4,7.42,7.31,0.0,0.11,30.0,15.0,1
30,2015-01-02 06:00:00,13521.0,14332.0,55.62,55.13,0.04,0.45,-92.39,-91.47,0.0,-0.92,31.0,15.0,1
31,2015-01-02 07:00:00,14440.0,15494.0,60.89,60.28,0.0,0.61,30.42,30.12,0.0,0.3,31.0,15.0,1
32,2015-01-02 08:00:00,15008.0,15761.0,60.74,60.15,0.0,0.59,21.02,20.8,0.0,0.22,31.0,16.0,1
33,2015-01-02 09:00:00,15345.0,15902.0,56.88,56.29,0.0,0.59,28.95,28.64,0.0,0.31,34.0,17.0,1
34,2015-01-02 10:00:00,15491.0,15917.0,56.84,56.27,0.0,0.57,35.35,34.96,0.0,0.39,35.0,17.0,1
35,2015-01-02 11:00:00,15532.0,15804.0,56.79,56.26,0.0,0.53,36.45,36.02,0.0,0.43,36.0,18.0,1
